date,round,home_team,home_score,away_team,away_score,home_result
6/24/18,Round 1,Colorado Rapids,3,Minnesota United,2,1
6/24/18,Round 1,Seattle Sounders FC,1,Chicago Fire,1,0
6/24/18,Round 1,Real Salt Lake,1,San Jose Earthquakes,1,0
6/24/18,Round 1,Los Angeles FC,2,Columbus Crew,0,2
6/24/18,Round 1,Atlanta United,1,Portland Timbers,1,0
6/24/18,Round 1,New York City FC,2,Toronto FC,1,1
6/30/18,Round 1,Minnesota United,0,FC Dallas,1,-1
6/30/18,Round 1,Seattle Sounders FC,2,Portland Timbers,3,-1
7/1/18,Round 1,Montreal Impact,2,Sporting Kansas City,0,2
7/1/18,Round 1,Atlanta United,4,Orlando City,0,4
7/1/18,Round 1,Columbus Crew,2,Real Salt Lake,1,1
7/1/18,Round 1,New England Rev.,3,DC United,2,1
7/1/18,Round 1,Chicago Fire,3,New York City FC,2,1
7/1/18,Round 1,San Jose Earthquakes,3,L.A. Galaxy,3,0
7/1/18,Round 1,Los Angeles FC,4,Philadelphia Union,1,3
7/1/18,Round 1,Toronto FC,0,New York Red Bulls,1,-1
7/2/18,Round 1,Vancouver Whitecaps,0,Colorado Rapids,1,-1
7/4/18,Round 1,Houston Dynamo,2,Los Angeles FC,2,0
7/5/18,Round 1,Minnesota United,4,Toronto FC,3,1
7/5/18,Round 1,FC Dallas,3,Atlanta United,2,1
7/5/18,Round 1,Colorado Rapids,1,Seattle Sounders FC,2,-1
7/5/18,Round 1,Real Salt Lake,4,Sporting Kansas City,2,2
7/5/18,Round 1,L.A. Galaxy,2,DC United,2,0
7/8/18,Round 1,Los Angeles FC,4,Orlando City,1,3
7/8/18,Round 1,New England Rev.,0,Seattle Sounders FC,0,0
7/8/18,Round 1,Montreal Impact,2,Colorado Rapids,1,1
7/8/18,Round 1,Philadelphia Union,0,Atlanta United,2,-2
7/8/18,Round 1,Sporting Kansas City,2,Toronto FC,2,0
7/8/18,Round 1,Houston Dynamo,3,Minnesota United,0,3
7/8/18,Round 1,Real Salt Lake,2,FC Dallas,0,2
7/8/18,Round 1,Vancouver Whitecaps,3,Chicago Fire,2,1
7/8/18,Round 1,L.A. Galaxy,4,Columbus Crew,0,4
